Employee_ID,Name,Gender,Age,City,Department,Salary,Joining_Date,Experience_Years,Performance_Rating,Bonus,Tax,Net_Salary,Experience_Bonus,Gross_Pay
1,Vijay,Male,41,Delhi,Support,78859,10-01-2024,10,5,7886,3943,82802,3943,90688
2,Sneha,Female,33,Hyderabad,IT,90075,19-05-2024,8,4,9008,4504,94579,4504,103587
3,Anjali,Male,50,Hyderabad,Finance,97093,19-02-2023,4,1,9709,4855,101947,0,106802
4,Divya,Male,48,Delhi,Sales,35515,25-09-2023,10,3,3552,1776,37291,1776,40843
5,Karthik,Female,51,Delhi,HR,54443,11-03-2022,12,3,5444,2722,5716500,2722,62609
6,Suresh,Female,25,Mumbai,IT,93587,12-06-2024,8,3,9359,4679,98267,4679,107625
7,Suresh,Male,48,Delhi,HR,77483,18-08-2024,15,1,7748,3874,81357,3874,89105
8,Sneha,Female,42,Hyderabad,Sales,77785,22-09-2023,5,4,7778,3889,81674,0,85563
9,Priya,Female,49,Mumbai,HR,98970,06-04-2023,11,2,9897,4948,103919,4948,113815
10,Meena,Male,48,Chennai,HR,38645,25-04-2024,16,2,3864,1932,577,1932,44441
11,Meena,Female,48,Bangalore,IT,56099,17-08-2022,15,5,5610,2805,58904,2805,64514
12,Priya,Male,32,Hyderabad,Finance,93760,29-08-2023,18,2,9376,4688,98448,4688,107824
13,Anjali,Male,39,Mumbai,Support,29641,11-07-2023,11,1,2964,1482,31123,1482,34087
14,Sneha,Male,45,Hyderabad,Support,93137,15-09-2022,15,3,9314,4657,97794,4657,107108
15,Vijay,Male,32,Bangalore,Sales,47550,08-01-2023,9,5,4755,2378,49927,2378,54683
16,Anjali,Male,57,Hyderabad,Support,53978,09-12-2023,18,2,5398,2699,56677,2699,62075
17,Rahul,Female,46,Mumbai,Support,50997,03-11-2022,7,1,5100,2550,53547,2550,58647
18,Rahul,Female,34,Hyderabad,HR,35827,06-11-2022,1,1,3583,1791,37619,0,39410
19,Suresh,Male,58,Hyderabad,HR,55321,10-02-2022,8,3,5532,2766,58087,2766,63619
20,Sneha,Male,27,Bangalore,Sales,86041,12-05-2022,7,5,8604,4302,90343,4302,98947
21,Suresh,Male,56,Hyderabad,Finance,37031,24-12-2023,16,3,3703,1852,38882,1852,42586
22,Suresh,Female,60,Mumbai,IT,78652,25-10-2023,5,2,7865,3933,82584,0,86517
23,Meena,Male,21,Delhi,HR,21855,10-08-2022,12,2,2186,1093,22948,1093,25134
24,Divya,Male,30,Mumbai,Support,77252,08-11-2023,14,2,7725,3863,81114,3863,88840
25,Vijay,Female,59,Chennai,Finance,26445,04-10-2022,6,4,2644,1322,27767,1322,30411
26,Vijay,Male,54,Chennai,Sales,93187,07-08-2023,13,5,9319,4659,97847,4659,107165
27,Vijay,Female,55,Bangalore,IT,26465,20-11-2022,16,2,2646,1323,27788,1323,30434
28,Anjali,Female,28,Chennai,Sales,88873,24-01-2022,15,4,8887,4444,93316,4444,102204
29,Meena,Male,21,Hyderabad,Finance,91664,01-03-2023,4,3,9166,4583,96247,0,100830
30,Divya,Male,55,Bangalore,HR,20113,27-07-2022,1,2,2011,1006,21118,0,22124
31,Vijay,Female,22,Hyderabad,Sales,26738,22-04-2022,20,4,2674,1337,28075,1337,30749
32,Divya,Female,57,Chennai,Sales,74693,16-05-2023,1,2,7469,3735,78427,0,82162
33,Sneha,Male,60,Delhi,Support,30077,12-04-2024,11,5,3008,1504,31581,1504,34589
34,Arun,Female,26,Chennai,Sales,76594,14-02-2022,19,1,7659,3830,80423,3830,88083
35,Suresh,Female,60,Hyderabad,HR,86942,08-07-2023,7,3,8694,4347,91289,4347,99983
36,Priya,Female,26,Hyderabad,Sales,83990,31-08-2023,1,4,8399,4200,88189,0,92389
37,Karthik,Male,54,Mumbai,HR,51064,31-01-2024,19,5,5106,2553,53617,2553,58723
38,Anjali,Female,27,Bangalore,Sales,56125,14-06-2022,10,4,5612,2806,58931,2806,64543
39,Vijay,Male,25,Bangalore,Sales,76606,02-02-2024,4,3,7661,3830,80437,0,84267
